Valor,m² construcción,Cuartos,Baños,Estacionamientos,Ubicación
"$11,950,000",600,3,4,4,"Tlalpan, Ciudad de México"
"$9,200,000",315,4,4,3,"Cuajimalpa de Morelos, Ciudad de México"
"$7,500,000",329,3,3,2,"Álvaro Obregón, Ciudad de México"
"$5,800,000",160,3,3,3,"Huixquilucan, Ciudad de México"
"$2,440,000",61,2,2,1,"Coyoacán, Ciudad de México"
"$4,099,000",93,2,2,2,"Benito Juárez, Ciudad de México"
"$2,100,000",120,2,1,2,"Tláhuac, Ciudad de México"
"$2,550,000",57,1,1,1,"Cuajimalpa de Morelos, Ciudad de México"
"$791,000",53,2,1,1,"Tecámac, Ciudad de México"
"$1,950,000",45,1,1,1,"Cuajimalpa de Morelos, Ciudad de México"
"$2,785,000",54,2,1,1,"Miguel Hidalgo, Ciudad de México"
"$7,400,000",250,3,3,3,"Huixquilucan, Ciudad de México"
"$9,500,000",293,3,3,4,"Cuajimalpa de Morelos, Ciudad de México"
"$10,000,000",240,3,3,3,"Álvaro Obregón, Ciudad de México"
"$5,350,000",155,2,2,1,"Benito Juárez, Ciudad de México"
"$10,990,000",360,4,5,5,"Atizapán de Zaragoza, Ciudad de México"
"$16,950,000",780,4,4,4,"Atizapán de Zaragoza, Ciudad de México"
"$1,200,000",69,2,1,2,"Ecatepec de Morelos, Ciudad de México"
"$2,299,000",200,4,2,4,"Chicoloapan, Ciudad de México"
"$2,370,000",180,3,2,1,"Chimalhuacán, Ciudad de México"
"$2,100,000",55,2,1,1,"Coyoacán, Ciudad de México"
"$3,400,000",60,2,2,1,"Miguel Hidalgo, Ciudad de México"
"$2,850,000",59,2,1,1,"Miguel Hidalgo, Ciudad de México"
"$2,754,000",57,2,2,1,"Benito Juárez, Ciudad de México"
"$3,900,000",220,3,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$4,350,000",221,3,1,6,"Tlalpan, Ciudad de México"
"$2,000,000",220,4,3,2,"Tláhuac, Ciudad de México"
"$6,800,000",230,4,4,3,"Huixquilucan, Ciudad de México"
"$2,600,000",305,5,3,2,"Naucalpan de Juárez, Ciudad de México"
"$4,900,000",445,8,7,1,"Gustavo A. Madero, Ciudad de México"
"$3,999,999",240,2,3,2,"Tlalpan, Ciudad de México"
"$4,950,000",107,2,2,1,"Benito Juárez, Ciudad de México"
"$16,000,000",400,3,4,3,"Coyoacán, Ciudad de México"
"$16,000,000",400,3,4,3,"Coyoacán, Ciudad de México"
"$40,246,000",805,4,5,6,"Miguel Hidalgo, Ciudad de México"
"$8,800,000",300,4,2,2,"Álvaro Obregón, Ciudad de México"
"$755,000",52,2,1,1,"Tultitlán, Ciudad de México"
"$750,000",55,2,1,1,"Tecámac, Ciudad de México"
"$5,392,000",97,2,2,1,"Cuauhtémoc, Ciudad de México"
"$3,000,000",65,2,1,1,"Cuauhtémoc, Ciudad de México"
"$1,636,000",60,2,2,1,"Huixquilucan, Ciudad de México"
"$4,289,000",110,3,2,2,"Benito Juárez, Ciudad de México"
"$2,560,000",64,2,2,1,"Coyoacán, Ciudad de México"
"$2,630,000",69,3,2,1,"Benito Juárez, Ciudad de México"
"$1,750,000",45,1,1,1,"Cuajimalpa de Morelos, Ciudad de México"
"$2,795,000",97,2,2,1,"Cuajimalpa de Morelos, Ciudad de México"
"$2,034,739",122,2,2,1,"Iztacalco, Ciudad de México"
"$3,571,000",75,2,2,2,"Cuauhtémoc, Ciudad de México"
"$3,300,000",74,2,2,1,"Miguel Hidalgo, Ciudad de México"
"$7,600,000",294,7,4,3,"Naucalpan de Juárez, Ciudad de México"
"$5,900,000",272,3,3,6,"Huixquilucan, Ciudad de México"
"$6,900,000",278,5,3,3,"Naucalpan de Juárez, Ciudad de México"
"$9,800,000",450,5,2,2,"Huixquilucan, Ciudad de México"
"$8,995,000",286,4,3,3,"Huixquilucan, Ciudad de México"
"$7,800,000",289,3,3,2,"Naucalpan de Juárez, Ciudad de México"
"$17,500,000",340,3,3,2,"Miguel Hidalgo, Ciudad de México"
"$2,709,000",63,2,2,1,"Coyoacán, Ciudad de México"
"$7,500,000",124,2,2,2,"Miguel Hidalgo, Ciudad de México"
"$6,000,000",175,1,1,1,"Benito Juárez, Ciudad de México"
"$5,500,000",170,3,2,3,"Álvaro Obregón, Ciudad de México"
"$3,084,460",123,3,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$2,850,000",91,2,2,1,"Tlalnepantla de Baz, Ciudad de México"
"$2,200,000",67,2,1,1,"Iztacalco, Ciudad de México"
"$3,000,000",148,3,1,1,"Atizapán de Zaragoza, Ciudad de México"
"$3,450,000",108,2,2,2,"Tlalnepantla de Baz, Ciudad de México"
"$3,750,000",118,3,2,2,"Tlalnepantla de Baz, Ciudad de México"
"$5,300,000",148,2,2,2,"Huixquilucan, Ciudad de México"
"$7,500,000",146,2,3,2,"Álvaro Obregón, Ciudad de México"
"$3,650,000",78,2,2,2,"Miguel Hidalgo, Ciudad de México"
"$3,250,000",74,2,2,1,"Benito Juárez, Ciudad de México"
"$2,750,000",254,3,3,2,"Chicoloapan, Ciudad de México"
"$2,300,000",250,6,4,2,"Tlalpan, Ciudad de México"
"$3,300,000",279,4,3,8,"Tizayuca, Ciudad de México"
"$4,500,000",252,3,2,5,"Tlalnepantla de Baz, Ciudad de México"
"$4,200,000",296,5,2,1,"Naucalpan de Juárez, Ciudad de México"
"$2,780,000",260,8,2,2,"Chimalhuacán, Ciudad de México"
"$3,600,000",288,3,3,2,"Cuautitlán Izcalli, Ciudad de México"
"$2,330,000",762,2,2,1,"Cuautitlán Izcalli, Ciudad de México"
"$10,500,000",215,2,2,3,"Miguel Hidalgo, Ciudad de México"
"$7,090,000",270,5,3,2,"Azcapotzalco, Ciudad de México"
"$19,900,000",900,3,3,6,"La Magdalena Contreras, Ciudad de México"
"$12,900,000",420,3,4,3,"Atizapán de Zaragoza, Ciudad de México"
"$6,999,900",330,4,4,3,"Xochimilco, Ciudad de México"
"$28,500,000",750,3,3,6,"Atizapán de Zaragoza, Ciudad de México"
"$28,940,000",790,4,5,6,"Atizapán de Zaragoza, Ciudad de México"
"$15,000,000",330,4,2,4,"Benito Juárez, Ciudad de México"
"$11,300,000",350,3,3,4,"Cuajimalpa de Morelos, Ciudad de México"
"$7,875,000",300,4,3,3,"Gustavo A. Madero, Ciudad de México"
"$8,800,000",265,3,3,4,"Huixquilucan, Ciudad de México"
"$3,100,000",68,2,2,1,"Benito Juárez, Ciudad de México"
"$3,100,000",68,2,2,1,"Álvaro Obregón, Ciudad de México"
"$6,950,000",187,3,3,3,"Huixquilucan, Ciudad de México"
"$3,800,000",54,1,1,1,"Miguel Hidalgo, Ciudad de México"
"$2,990,000",60,1,1,1,"Cuajimalpa de Morelos, Ciudad de México"
"$4,900,000",64,1,1,1,"Miguel Hidalgo, Ciudad de México"
"$4,900,000",64,1,1,1,"Miguel Hidalgo, Ciudad de México"
"$4,950,000",107,2,2,1,"Benito Juárez, Ciudad de México"
"$3,100,000",98,2,2,2,"Huixquilucan, Ciudad de México"
"$3,298,001",92,2,2,2,"Tlalnepantla de Baz, Ciudad de México"
"$3,100,000",98,2,2,2,"Huixquilucan, Ciudad de México"
"$3,100,000",68,2,2,1,"Benito Juárez, Ciudad de México"
"$4,400,000",88,2,2,2,"Álvaro Obregón, Ciudad de México"
"$3,100,000",68,2,2,1,"Benito Juárez, Ciudad de México"
"$3,300,000",80,1,1,1,"Cuajimalpa de Morelos, Ciudad de México"
"$3,107,000",65,2,2,1,"Benito Juárez, Ciudad de México"
"$6,300,000",156,3,3,3,"Álvaro Obregón, Ciudad de México"
"$3,821,000",80,2,2,2,"Benito Juárez, Ciudad de México"
"$4,300,000",123,2,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$3,700,000",64,2,2,1,"Cuauhtémoc, Ciudad de México"
"$3,079,000",67,2,2,1,"Álvaro Obregón, Ciudad de México"
"$3,099,000",68,2,2,1,"Álvaro Obregón, Ciudad de México"
"$2,245,000",63,2,2,1,"Azcapotzalco, Ciudad de México"
"$9,400,000",210,3,3,3,"Benito Juárez, Ciudad de México"
"$6,500,000",210,4,3,0,"Tlalpan, Ciudad de México"
"$9,500,000",299,3,3,2,"Huixquilucan, Ciudad de México"
"$8,900,000",467,4,5,7,"Atizapán de Zaragoza, Ciudad de México"
"$6,500,000",333,4,5,4,"Naucalpan de Juárez, Ciudad de México"
"$840,000",77,2,1,1,"Huehuetoca, Ciudad de México"
"$2,500,000",93,3,2,1,"Huixquilucan, Ciudad de México"
"$4,250,000",100,2,2,2,"Álvaro Obregón, Ciudad de México"
"$5,600,000",186,3,3,3,"Atizapán de Zaragoza, Ciudad de México"
"$5,100,000",190,2,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$3,570,000",119,3,2,2,"Tlalpan, Ciudad de México"
"$8,500,000",160,3,2,2,"Benito Juárez, Ciudad de México"
"$2,845,000",76,2,2,1,"Iztacalco, Ciudad de México"
"$7,500,000",132,3,3,2,"Miguel Hidalgo, Ciudad de México"
"$2,550,000",64,2,2,1,"Benito Juárez, Ciudad de México"
"$3,930,000",68,2,2,2,"Miguel Hidalgo, Ciudad de México"
"$2,690,000",65,2,2,1,"Álvaro Obregón, Ciudad de México"
"$3,200,000",63,2,2,1,"Benito Juárez, Ciudad de México"
"$4,255,000",93,2,2,2,"Benito Juárez, Ciudad de México"
"$4,490,000",131,3,2,1,"Benito Juárez, Ciudad de México"
"$7,200,000",189,3,3,2,"Huixquilucan, Ciudad de México"
"$7,700,000",187,3,2,2,"Benito Juárez, Ciudad de México"
"$6,199,999",148,2,2,2,"Benito Juárez, Ciudad de México"
"$4,250,000",175,2,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$5,300,000",116,2,2,1,"Benito Juárez, Ciudad de México"
"$3,719,000",88,2,2,1,"Álvaro Obregón, Ciudad de México"
"$14,100,000",484,3,3,6,"La Magdalena Contreras, Ciudad de México"
"$11,500,000",330,3,3,4,"Huixquilucan, Ciudad de México"
"$20,000,000",1200,5,5,4,"Naucalpan de Juárez, Ciudad de México"
"$29,000,000",1200,4,4,15,"Atizapán de Zaragoza, Ciudad de México"
"$24,500,000",500,4,4,4,"La Magdalena Contreras, Ciudad de México"
"$5,485,000",160,2,2,1,"Benito Juárez, Ciudad de México"
"$4,100,000",83,1,1,1,"Cuajimalpa de Morelos, Ciudad de México"
"$2,800,000",64,2,2,2,"Benito Juárez, Ciudad de México"
"$5,800,000",148,2,3,2,"Huixquilucan, Ciudad de México"
"$6,300,000",155,3,3,3,"Huixquilucan, Ciudad de México"
"$4,566,050",134,2,2,1,"Benito Juárez, Ciudad de México"
"$2,145,000",63,3,1,1,"Cuajimalpa de Morelos, Ciudad de México"
"$3,900,000",75,1,1,2,"Álvaro Obregón, Ciudad de México"
"$5,750,000",100,3,2,2,"Benito Juárez, Ciudad de México"
"$3,528,000",84,2,2,1,"Coyoacán, Ciudad de México"
"$5,200,000",110,2,2,2,"Benito Juárez, Ciudad de México"
"$2,899,000",64,2,2,2,"Benito Juárez, Ciudad de México"
"$3,027,000",75,2,2,2,"Benito Juárez, Ciudad de México"
"$7,500,000",183,3,3,2,"Huixquilucan, Ciudad de México"
"$6,800,000",150,3,2,2,"Benito Juárez, Ciudad de México"
"$9,800,000",185,3,2,2,"Miguel Hidalgo, Ciudad de México"
"$3,266,000",111,3,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$3,650,000",122,2,2,1,"Naucalpan de Juárez, Ciudad de México"
"$3,537,000",83,2,2,1,"Benito Juárez, Ciudad de México"
"$3,699,000",102,3,2,2,"Tlalpan, Ciudad de México"
"$2,650,000",66,2,1,1,"Benito Juárez, Ciudad de México"
"$5,300,000",100,2,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$1,607,920",110,2,2,2,"Tecámac, Ciudad de México"
"$5,700,000",186,3,2,2,"Huixquilucan, Ciudad de México"
"$3,042,120",85,2,2,1,"Azcapotzalco, Ciudad de México"
"$5,750,000",83,2,2,1,"Cuauhtémoc, Ciudad de México"
"$2,899,000",89,2,2,1,"Benito Juárez, Ciudad de México"
"$4,050,000",89,2,2,2,"Benito Juárez, Ciudad de México"
"$3,557,000",89,2,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$5,460,000",132,2,2,2,"Álvaro Obregón, Ciudad de México"
"$5,450,000",113,2,2,2,"Benito Juárez, Ciudad de México"
"$2,899,000",89,2,2,1,"Benito Juárez, Ciudad de México"
"$5,500,000",117,2,2,2,"Álvaro Obregón, Ciudad de México"
"$8,890,000",171,3,3,4,"Cuajimalpa de Morelos, Ciudad de México"
"$2,790,000",108,3,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$13,500,000",200,3,3,3,"Atizapán de Zaragoza, Ciudad de México"
"$10,000,000",194,2,3,2,"Benito Juárez, Ciudad de México"
"$5,000,000",205,3,4,3,"Atizapán de Zaragoza, Ciudad de México"
"$21,650,000",77,3,3,3,"Álvaro Obregón, Ciudad de México"
"$8,400,000",146,3,3,4,"Álvaro Obregón, Ciudad de México"
"$6,300,000",104,2,2,2,"Álvaro Obregón, Ciudad de México"
"$5,200,000",78,2,2,2,"Álvaro Obregón, Ciudad de México"
"$6,200,000",109,2,2,2,"Benito Juárez, Ciudad de México"
"$10,500,000",203,3,3,2,"Miguel Hidalgo, Ciudad de México"
"$3,278,000",70,2,1,1,"Benito Juárez, Ciudad de México"
"$4,726,555",70,2,2,1,"Álvaro Obregón, Ciudad de México"
"$5,008,506",103,2,2,1,"Benito Juárez, Ciudad de México"
"$4,076,000",86,2,2,1,"Benito Juárez, Ciudad de México"
"$4,404,900",70,2,2,1,"Benito Juárez, Ciudad de México"
"$7,700,000",138,2,3,2,"Cuajimalpa de Morelos, Ciudad de México"
"$8,990,000",190,2,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$6,240,781",147,2,2,1,"Benito Juárez, Ciudad de México"
"$6,300,000",137,2,2,1,"Miguel Hidalgo, Ciudad de México"
"$9,950,000",190,2,2,2,"Álvaro Obregón, Ciudad de México"
"$3,050,000",100,2,2,2,"Atizapán de Zaragoza, Ciudad de México"
"$2,910,000",64,2,2,1,"Benito Juárez, Ciudad de México"
"$4,300,000",110,3,3,2,"Benito Juárez, Ciudad de México"
"$4,145,000",110,2,2,1,"Benito Juárez, Ciudad de México"
"$4,450,000",123,3,2,2,"Tlalpan, Ciudad de México"
"$3,700,000",84,3,2,1,"Benito Juárez, Ciudad de México"
"$4,150,000",98,2,2,1,"Benito Juárez, Ciudad de México"
"$4,900,000",91,2,2,2,"Álvaro Obregón, Ciudad de México"
"$3,800,000",180,2,2,1,"Gustavo A. Madero, Ciudad de México"
"$4,200,000",120,3,3,1,"La Magdalena Contreras, Ciudad de México"
"$3,340,000",63,2,2,1,"Benito Juárez, Ciudad de México"
"$4,860,000",88,2,2,2,"Álvaro Obregón, Ciudad de México"
"$2,550,000",76,3,1,1,"Tlalpan, Ciudad de México"
"$4,200,000",120,3,3,1,"Tlalpan, Ciudad de México"
"$6,300,000",100,1,1,2,"Benito Juárez, Ciudad de México"
"$5,800,000",125,3,2,1,"Benito Juárez, Ciudad de México"
"$5,600,000",127,2,3,1,"Álvaro Obregón, Ciudad de México"
"$2,950,000",64,2,2,1,"Benito Juárez, Ciudad de México"
"$4,600,000",100,2,2,1,"Benito Juárez, Ciudad de México"
"$5,600,000",97,3,2,2,"Benito Juárez, Ciudad de México"
"$5,700,000",112,2,2,2,"Benito Juárez, Ciudad de México"
"$4,900,000",86,3,2,1,"Cuauhtémoc, Ciudad de México"
"$4,900,000",87,2,2,1,"Benito Juárez, Ciudad de México"
"$4,979,500",78,2,2,2,"Álvaro Obregón, Ciudad de México"
"$2,490,000",80,3,2,1,"Iztapalapa, Ciudad de México"
"$5,750,000",107,2,2,1,"Benito Juárez, Ciudad de México"
"$7,250,000",131,3,2,2,"Benito Juárez, Ciudad de México"
"$2,289,399",70,2,1,1,"Venustiano Carranza, Ciudad de México"
"$6,450,000",130,2,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$3,090,000",88,2,2,1,"Tlalpan, Ciudad de México"
"$3,378,095",74,3,2,1,"Gustavo A. Madero, Ciudad de México"
"$4,000,000",132,4,3,1,"Cuajimalpa de Morelos, Ciudad de México"
"$4,400,000",117,2,2,2,"Tlalpan, Ciudad de México"
"$7,300,000",171,3,4,2,"Huixquilucan, Ciudad de México"
"$7,250,000",155,2,3,2,"Huixquilucan, Ciudad de México"
"$8,900,000",185,3,4,2,"Miguel Hidalgo, Ciudad de México"
"$7,850,000",142,2,2,2,"Benito Juárez, Ciudad de México"
"$7,747,000",175,3,2,2,"Benito Juárez, Ciudad de México"
"$7,700,000",138,3,3,2,"Cuajimalpa de Morelos, Ciudad de México"
"$7,500,000",154,3,2,1,"Benito Juárez, Ciudad de México"
"$8,000,000",140,2,2,2,"Cuajimalpa de Morelos, Ciudad de México"
"$6,500,000",158,3,3,2,"Álvaro Obregón, Ciudad de México"
